1;Quelle est la capitale de la France ?;Londres;Berlin;Paris;Madrid;C;
2;Combien y a-t-il de continents sur Terre ?;4;5;6;7;D;
3;Quel est le plus grand océan du monde ?;Atlantique;Arctique;Indien;Pacifique;D;
4;Quel animal est surnommé "le roi de la jungle" ?;Éléphant;Tigre;Lion;Léopard;C;
5;Quel est l’élément chimique dont le symbole est O ?;Or;Oxygène;Osmium;Hydrogène;B;
6;Quel est l’auteur de *Les Misérables* ?;Gustave Flaubert;Victor Hugo;Émile Zola;Albert Camus;B;
7;Combien font 7 x 8 ?;54;56;58;60;B;
8;Quel est le pays d’origine de la pizza ?;Espagne;Grèce;Italie;France;C;
9;Dans quel sport utilise-t-on une raquette ?;Football;Tennis;Golf;Rugby;B;
10;Quel est le nom du satellite naturel de la Terre ?;Mars;Soleil;Lune;Vénus;C;
11;Qui a peint *La Joconde* ?;Michel-Ange;Picasso;Léonard de Vinci;Raphaël;C;
12;Quel est l’instrument de musique avec des touches blanches et noires ?;Guitare;Violoncelle;Piano;Flûte;C;
13;Quelle est la couleur du sang ?;Bleu;Rouge;Vert;Jaune;B;
14;Quelle langue parle-t-on principalement au Brésil ?;Espagnol;Portugais;Français;Italien;B;
15;Combien y a-t-il d’heures dans une journée ?;12;18;24;30;C;
16;Quel pays a offert la Statue de la Liberté aux États-Unis ?;Angleterre;Allemagne;France;Espagne;C;
17;Quel est le plus long fleuve du monde ?;Nil;Amazonie;Yangtsé;Mississippi;B;
18;Dans quelle ville peut-on visiter le Colisée ?;Athènes;Rome;Istanbul;Madrid;B;
19;Qui a écrit *Le Petit Prince* ?;Jules Verne;Antoine de Saint-Exupéry;Victor Hugo;Marcel Proust;B;
20;Quelle planète est la plus proche du Soleil ?;Vénus;Terre;Mercure;Mars;C;
21;Quel est l’ingrédient principal du guacamole ?;Poivron;Avocat;Concombre;Tomate;B;
22;Combien de côtés a un hexagone ?;5;6;7;8;B;
23;Quel est le pays le plus peuplé du monde ?;États-Unis;Chine;Inde;Brésil;C;
24;Quel est le symbole chimique du fer ?;Fe;Ir;Fr;Fi;A;
25;Quelle langue parle-t-on en Autriche ?;Allemand;Italien;Néerlandais;Suédois;A;
26;Dans quel pays se trouve la ville de Marrakech ?;Tunisie;Égypte;Maroc;Algérie;C;
27;Quel est le peintre célèbre pour ses tournesols ?;Monet;Van Gogh;Manet;Cézanne;B;
28;Dans quel océan se trouve l'île de Madagascar ?;Atlantique;Indien;Pacifique;Arctique;B;
29;Quel est le plus grand désert du monde ?;Gobi;Sahara;Kalahari;Antarctique;D;
30;Quel scientifique a développé la théorie de la relativité ?;Galilée;Newton;Einstein;Tesla;C;
31;Quel pays a remporté la Coupe du Monde de football en 2018 ?;Allemagne;Brésil;France;Argentine;C;
33;Quel métal est liquide à température ambiante ?;Plomb;Mercure;Zinc;Aluminium;B;
34;Qui a découvert la pénicilline ?;Louis Pasteur;Alexander Fleming;Marie Curie;Gregor Mendel;B;
35;Combien de zéros y a-t-il dans un milliard ?;6;9;10;12;B;
36;Quelle est la langue officielle de l’Iran ?;Arabe;Ourdou;Persan;Turc;C;
37;Quel est le pays d’origine du flamenco ?;Italie;Espagne;Portugal;Grèce;B;
38;Quel célèbre scientifique est enterré à Westminster Abbey à côté d’Isaac Newton ?;Darwin;Einstein;Bohr;Copernic;A;
39;Quelle est la monnaie utilisée au Japon ?;Yuan;Won;Yen;Ringgit;C;
40;Quel est l'organe principal du système circulatoire ?;Cerveau;Cœur;Poumon;Foie;B;
41;Quel artiste est célèbre pour la sculpture du *David* ?;Michel-Ange;Donatello;Rodin;Raphaël;A;
42;Quelle est la ville la plus peuplée du monde ?;New York;Tokyo;Shanghai;Mumbai;B;
43;Qui est le dieu principal de la mythologie grecque ?;Hadès;Zeus;Poséidon;Apollon;B;
44;Quelle est la formule chimique de l’eau ?;H2O;CO2;NaCl;O2;A;
45;Quel instrument est associé au jazz ?;Harmonica;Violon;Saxophone;Hautbois;C;
47;Quel fruit est connu pour sa richesse en vitamine C ?;Pomme;Banane;Orange;Raisin;C;
48;Quel est le contraire de "nuit" ?;Sombre;Matin;Jour;Clair;C;
49;Combien de pattes a une araignée ?;6;8;10;12;B;
50;Quel est l’animal le plus rapide du monde ?;Lion;Guépard;Aigle;Tigre;B;
51;Quelle couleur obtient-on en mélangeant du bleu et du jaune ?;Vert;Orange;Violet;Rose;A;
52;Quelle boisson est obtenue à partir de raisins fermentés ?;Cidre;Bière;Vin;Limonade;C;
53;Quel est le plus petit nombre entier positif ?;0;1;2;3;B;
54;Dans quelle partie du corps se trouve le cerveau ?;Jambe;Bras;Tête;Poitrine;C;
55;Combien y a-t-il de lettres dans l’alphabet français ?;24;25;26;27;C;
64;Quelle est la première femme à avoir reçu un prix Nobel ?;Simone de Beauvoir;Marie Curie;Jane Goodall;Rosa Parks;B;
66;Qui a écrit *Roméo et Juliette* ?;Victor Hugo;Shakespeare;Molière;Balzac;B;
67;Combien de planètes composent le système solaire ?;7;8;9;10;B;
68;Dans quelle mer se trouve l’île de Chypre ?;Mer Noire;Mer Rouge;Mer Méditerranée;Mer Caspienne;C;
69;Quel pays est célèbre pour ses tulipes et ses moulins à vent ?;Belgique;Danemark;Pays-Bas;Allemagne;C;
72;Quelle unité mesure la fréquence d’un son ?;Watt;Volt;Hertz;Ohm;C;
73;Quelle est la monnaie officielle de la Suisse ?;Euro;Franc suisse;Couronne;Livre;B;
74;Quel pays est appelé le « pays du Soleil-Levant » ?;Chine;Corée;Vietnam;Japon;D;
81;Quel est le nom de la monnaie utilisée au Royaume-Uni ?;Euro;Dollar;Livre sterling;Franc;C;
82;Quelle ville italienne est connue pour ses canaux ?;Florence;Venise;Rome;Naples;B;
84;Quel est le principal gaz à effet de serre émis par l'activité humaine ?;Oxygène;Dioxyde de carbone;Hydrogène;Méthane;B;
85;Quelle guerre a opposé le Nord et le Sud des États-Unis ?;Guerre de Sécession;Guerre d’indépendance;Guerre du Golfe;Guerre froide;A;
89;Quelle est la langue officielle de l’Égypte ?;Français;Anglais;Arabe;Grec;C;
90;Quelle femme politique est devenue chancelière de l’Allemagne en 2005 ?;Angela Merkel;Ursula von der Leyen;Margaret Thatcher;Christine Lagarde;A;
104;Quel océan borde la côte ouest de l’Amérique du Sud ?;Atlantique;Pacifique;Indien;Arctique;B;
108;Quel est l’autre nom de la guerre de 1914-1918 ?;Guerre de Cent Ans;Grande Guerre;Guerre Froide;Guerre de Sécession;B;
109;Dans quel pays est née la démocratie ?;Rome;France;Grèce;Allemagne;C;
110;Quel est le nom du célèbre volcan de Pompéi ?;Vésuve;Etna;Stromboli;Fuji;A;
111;Quel mathématicien grec est connu pour son théorème sur les triangles ?;Euclide;Thalès;Pythagore;Archimède;C;
120;Qui a peint le plafond de la chapelle Sixtine ?;Michel-Ange;Raphaël;Donatello;Caravage;A;
121;Quel prix littéraire français prestigieux est décerné chaque année en novembre ?;Médicis;Fémina;Goncourt;Renaudot;C;
122;Dans quel pays se trouve la ville de Kyoto ?;Chine;Japon;Corée du Sud;Vietnam;B;
123;Qui a écrit *1984* ?;Aldous Huxley;George Orwell;Ray Bradbury;Philip K. Dick;B;
126;Quel est le nom du fleuve qui traverse Paris ?;Seine;Loire;Garonne;Rhône;A;
130;Quel continent est considéré comme le berceau de l’humanité ?;Amérique;Asie;Europe;Afrique;D;
139;Quel océan sépare l’Afrique de l’Australie ?;Atlantique;Arctique;Indien;Pacifique;C;
140;Quel roi a fait construire le château de Versailles ?;Louis XIII;Louis XIV;Louis XV;Henri IV;B;
142;Quelle est la durée d’un mandat présidentiel en France depuis 2000 ?;5 ans;6 ans;7 ans;4 ans;A;
145;Qui a découvert l'Amérique en 1492 ?;Marco Polo;Vasco de Gama;Christophe Colomb;Magellan;C;
164;Quel est le nom scientifique de l’être humain ?;Homo erectus;Homo sapiens;Australopithecus;Homo habilis;B;
177;Quel est le plus haut sommet des Alpes ?;Mont Ventoux;Mont Blanc;Matterhorn;Eiger;B;
179;Quel pays a pour devise "In God We Trust" ?;Canada;États-Unis;Royaume-Uni;Australie;B;
180;Quel est le nom de la plus grande forêt tropicale du monde ?;Taïga;Forêt amazonienne;Forêt équatoriale africaine;Jungle de Bornéo;B;
182;Quel instrument de mesure permet de détecter les séismes ?;Baromètre;Anémomètre;Sismographe;Altimètre;C;
186;Qui a peint *Guernica* ?;Picasso;Dali;Velasquez;Goya;A;
192;Quelle femme a dirigé le Royaume-Uni de 1979 à 1990 ?;Theresa May;Margaret Thatcher;Angela Merkel;Élisabeth II;B;
194;Quel est le nom du satellite de la Terre ?;Lune;Phobos;Europa;Titan;A;
195;Quelle est la date du début de la Seconde Guerre mondiale ?;1914;1939;1945;1940;B;
79;Quel peintre italien est aussi un inventeur célèbre ?;Raphaël;Caravage;Michel-Ange;Léonard de Vinci;D;
1;Quel mathématicien a formulé l'hypothèse de Riemann ?;Gauss;Euler;Bernhard Riemann;Poincaré;C;
2;Quel est le système d'exploitation développé par Microsoft ?;Linux;macOS;Windows;Android;C;
3;Quelle unité mesure la capacité d’un disque dur ?;Hertz;Octet;Pixel;Bitrate;B;